OrderNumber,OrderItem,YEAR,MONTH,Date,Customer,CustDescr,City,SalesOrg,Country,Product,ProdDescr,ProdCat,CatDescr,Division,SalesQuantity,UnitOfMeasure,Currency,Revenue,Discount,Revenue USD,Discount USD,Costs in USD
100002,70,2007,1,1/3/2007,15000,Bavaria Bikes,München,DS00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,2,ST,EUR,2834.17,141.71,3732.61,186.63,1900
100003,10,2007,1,1/3/2007,22000,Rädlelland,Stuttgart,DS00,DE,FAID1000,First Aid Kit,ACC,Accessoire,AS,29,ST,EUR,966.98,29.01,1273.52,38.21,580
100003,20,2007,1,1/3/2007,22000,Rädlelland,Stuttgart,DS00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,4,ST,EUR,5668.34,170.05,7465.22,223.96,3800
100003,30,2007,1,1/3/2007,22000,Rädlelland,Stuttgart,DS00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,4,ST,EUR,10002.96,300.09,13173.92,395.22,5600
100003,40,2007,1,1/3/2007,22000,Rädlelland,Stuttgart,DS00,DE,PRTR1000,Professional Touring Bike-Black,TOU,Touring Bike,BI,7,ST,EUR,18672.22,560.17,24591.36,737.75,10500
100003,50,2007,1,1/3/2007,22000,Rädlelland,Stuttgart,DS00,DE,DXTR3000,Deluxe Touring Bike-Red,TOU,Touring Bike,BI,5,ST,EUR,12503.7,375.11,16467.4,494.02,7000
100004,10,2007,1,1/3/2007,22000,Rädlelland,Stuttgart,DS00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,7,ST,EUR,163.41,4.9,215.21,6.45,98
100005,10,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,8,ST,EUR,20005.92,600.18,26196.05,785.88,11200
100005,20,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,OHMT1000,Off Road Helmet,ACC,Accessoire,AS,4,ST,EUR,166.7,5,218.28,6.55,100
100005,30,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,SHRT1000,T-shirt,ACC,Accessoire,AS,5,ST,EUR,125.03,3.75,163.72,4.91,75
100005,40,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXTR1000,Deluxe Touring Bike-Black,TOU,Touring Bike,BI,5,ST,EUR,12503.7,375.11,16372.53,491.17,7000
100005,50,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,5,ST,EUR,7085.43,212.56,9277.77,278.33,5000
100005,60,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXTR3000,Deluxe Touring Bike-Red,TOU,Touring Bike,BI,7,ST,EUR,17505.18,525.15,22921.54,687.64,9800
100005,70,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,9,ST,EUR,22506.66,675.2,29470.55,884.12,12600
100005,80,2007,1,1/4/2007,17000,Cruiser Bikes,Hannover,DN00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,2,ST,EUR,5001.48,150.04,6549.01,196.46,2800
100006,10,2007,1,1/5/2007,14000,Alster Cycling,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,9,ST,EUR,210.1,6.31,273.21,8.21,126
100006,20,2007,1,1/5/2007,14000,Alster Cycling,Hamburg,DN00,DE,OHMT1000,Off Road Helmet,ACC,Accessoire,AS,3,ST,EUR,125.05,3.75,162.61,4.88,75
100006,30,2007,1,1/5/2007,14000,Alster Cycling,Hamburg,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,8,ST,EUR,11336.69,340.1,14742.12,442.26,8000
100006,40,2007,1,1/5/2007,14000,Alster Cycling,Hamburg,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,5,ST,EUR,75.04,2.25,97.58,2.93,45
100006,50,2007,1,1/5/2007,14000,Alster Cycling,Hamburg,DN00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,8,ST,EUR,16004.74,480.14,20812.41,624.37,9600
100007,10,2007,1,1/6/2007,15000,Bavaria Bikes,München,DS00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,7,ST,EUR,14004.14,700.21,18210.85,910.55,8400
100007,20,2007,1,1/6/2007,15000,Bavaria Bikes,München,DS00,DE,BOTL1000,Water Bottle,ACC,Accessoire,AS,6,ST,EUR,100.04,5.01,130.09,6.51,60
100007,30,2007,1,1/6/2007,15000,Bavaria Bikes,München,DS00,DE,PRRD1000,Road Bike Carbon Shimano,ROB,Roadbike,BI,7,ST,EUR,23340.24,1167.01,30351.42,1517.57,15400
100007,40,2007,1,1/6/2007,15000,Bavaria Bikes,München,DS00,DE,PRTR2000,Professional Touring Bike-Silver,TOU,Touring Bike,BI,4,ST,EUR,10669.82,533.49,13874.93,693.75,6000
100007,50,2007,1,1/6/2007,15000,Bavaria Bikes,München,DS00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,9,ST,EUR,12753.77,637.69,16584.88,829.25,9000
100007,60,2007,1,1/6/2007,15000,Bavaria Bikes,München,DS00,DE,SHRT1000,T-shirt,ACC,Accessoire,AS,6,ST,EUR,150.06,7.5,195.14,9.75,90
100007,70,2007,1,1/6/2007,15000,Bavaria Bikes,München,DS00,DE,DXRD2000,Road Bike Alu SRAM,ROB,Roadbike,BI,8,ST,EUR,11003.3,550.17,14308.58,715.44,7600
100008,10,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,8,ST,EUR,11336.66,340.1,14763.2,442.9,8000
100008,20,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,9,ST,EUR,210.05,6.31,273.54,8.22,126
100008,30,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,BOTL1000,Water Bottle,ACC,Accessoire,AS,2,ST,EUR,33.34,1,43.42,1.3,20
100008,40,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,KPAD1000,Knee Pads,ACC,Accessoire,AS,6,ST,EUR,375.1,11.25,488.48,14.65,225
100008,50,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,OHMT1000,Off Road Helmet,ACC,Accessoire,AS,3,ST,EUR,125.02,3.75,162.81,4.88,75
100008,60,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,RHMT1000,Road Helmet,ACC,Accessoire,AS,9,ST,EUR,375.07,11.25,488.44,14.65,225
100008,70,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,4,ST,EUR,60,1.8,78.14,2.34,36
100008,80,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,RHMT1000,Road Helmet,ACC,Accessoire,AS,9,ST,EUR,375.07,11.25,488.44,14.65,225
100009,10,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,RKIT1000,Repair Kit,ACC,Accessoire,AS,4,ST,EUR,106.7,3.2,138.95,4.17,64
100009,20,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,2,ST,EUR,46.68,1.4,60.79,1.82,28
100009,30,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PRRD2000,Road Bike Carbon SRAM,ROB,Roadbike,BI,1,ST,EUR,3501.04,105.03,4559.24,136.78,2350
100009,40,2007,1,1/8/2007,23000,Red Light Bikes,Hamburg,DN00,DE,RKIT1000,Repair Kit,ACC,Accessoire,AS,5,ST,EUR,133.37,4,173.68,5.21,80
100010,10,2007,1,1/9/2007,23000,Red Light Bikes,Hamburg,DN00,DE,FAID1000,First Aid Kit,ACC,Accessoire,AS,31,ST,EUR,1033.57,31.01,1343,40.29,620
100010,20,2007,1,1/9/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PRTR1000,Professional Touring Bike-Black,TOU,Touring Bike,BI,2,ST,EUR,5334.91,160.05,6932.06,207.97,3000
100010,30,2007,1,1/9/2007,23000,Red Light Bikes,Hamburg,DN00,DE,ORHT1000,Men's Off Road Bike Hard Tail Shimano,ORB,Offroad Bike,BI,1,ST,EUR,1333.73,40.02,1733.02,52,900
100010,40,2007,1,1/9/2007,23000,Red Light Bikes,Hamburg,DN00,DE,DXRD2000,Road Bike Alu SRAM,ROB,Roadbike,BI,8,ST,EUR,11003.22,330.1,14297.32,428.92,7600
100010,50,2007,1,1/9/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,6,ST,EUR,140.02,4.2,181.94,5.46,84
100011,10,2007,1,1/10/2007,16000,Capital Bikes,Berlin,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,6,ST,EUR,140.03,4.2,181.2,5.43,84
100011,20,2007,1,1/10/2007,16000,Capital Bikes,Berlin,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,2,ST,EUR,30.01,0.9,38.83,1.16,18
100011,30,2007,1,1/10/2007,16000,Capital Bikes,Berlin,DN00,DE,PRRD2000,Road Bike Carbon SRAM,ROB,Roadbike,BI,9,ST,EUR,31509.36,945.28,40772.98,1223.19,21150
100011,40,2007,1,1/10/2007,16000,Capital Bikes,Berlin,DN00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,2,ST,EUR,2834.18,85.03,3667.42,110.03,1900
100012,10,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,5,ST,EUR,12503.7,375.11,16160.92,484.83,7000
100012,20,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,9,ST,EUR,12753.78,382.61,16484.14,494.52,8550
100012,30,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,RKIT1000,Repair Kit,ACC,Accessoire,AS,2,ST,EUR,53.34,1.6,68.94,2.07,32
100012,40,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,RKIT1000,Repair Kit,ACC,Accessoire,AS,8,ST,EUR,213.36,6.41,275.77,8.28,128
100012,50,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,PRTR1000,Professional Touring Bike-Black,TOU,Touring Bike,BI,9,ST,EUR,24007.07,720.21,31028.91,930.86,13500
100012,60,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,3,ST,EUR,4251.26,127.53,5494.71,164.83,3000
100012,70,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,OHMT1000,Off Road Helmet,ACC,Accessoire,AS,8,ST,EUR,333.4,10,430.92,12.92,200
100012,80,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,5,ST,EUR,116.7,3.5,150.83,4.52,70
100012,90,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,ORWN1000,Women's Off Road Bike Fully,ORB,Offroad Bike,BI,5,ST,EUR,10419.77,312.59,13467.46,404.02,6250
100013,10,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,8,ST,EUR,120.04,3.6,155.15,4.65,72
100013,20,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,4,ST,EUR,60.02,1.8,77.58,2.33,36
100013,30,2007,1,1/12/2007,14000,Alster Cycling,Hamburg,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,7,ST,EUR,105.04,3.15,135.76,4.07,63
100014,10,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,RHMT1000,Road Helmet,ACC,Accessoire,AS,1,ST,EUR,41.68,1.25,53.87,1.62,25
100014,20,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,BOTL1000,Water Bottle,ACC,Accessoire,AS,9,ST,EUR,150.03,4.51,193.91,5.83,90
100014,30,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,3,ST,EUR,4251.26,127.53,5494.71,164.83,2850
100014,40,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,BOTL1000,Water Bottle,ACC,Accessoire,AS,3,ST,EUR,50.01,1.5,64.64,1.94,30
100014,50,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,DXTR3000,Deluxe Touring Bike-Red,TOU,Touring Bike,BI,4,ST,EUR,10002.96,300.09,12928.73,387.86,5600
100014,60,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,5,ST,EUR,12503.7,375.11,16160.92,484.83,7000
100014,70,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,EPAD1000,Elbow Pads,ACC,Accessoire,AS,6,ST,EUR,375.11,11.25,484.83,14.54,225
100014,80,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,9,ST,EUR,12753.78,382.61,16484.14,494.52,9000
100014,90,2007,1,1/12/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,4,ST,EUR,93.36,2.8,120.67,3.62,56
100015,10,2007,1,1/13/2007,17000,Cruiser Bikes,Hannover,DN00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,5,ST,EUR,10002.97,300.09,12928.74,387.86,6000
100015,20,2007,1,1/13/2007,17000,Cruiser Bikes,Hannover,DN00,DE,PRRD1000,Road Bike Carbon Shimano,ROB,Roadbike,BI,2,ST,EUR,6668.64,200.06,8619.15,258.58,4400
100016,10,2007,1,1/14/2007,22000,Rädlelland,Stuttgart,DS00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,8,ST,EUR,11336.7,340.1,14652.58,439.58,8000
100017,10,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,PRRD1000,Road Bike Carbon Shimano,ROB,Roadbike,BI,8,ST,EUR,26674.56,800.23,34494.45,1034.82,17600
100017,20,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,2,ST,EUR,5001.48,150.04,6467.71,194.03,2800
100017,30,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,1,ST,EUR,23.34,0.7,30.18,0.91,14
100017,40,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,OHMT1000,Off Road Helmet,ACC,Accessoire,AS,6,ST,EUR,250.07,7.51,323.38,9.71,150
100017,50,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,7,ST,EUR,9919.6,297.58,12827.62,384.82,6650
100017,60,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,OHMT1000,Off Road Helmet,ACC,Accessoire,AS,4,ST,EUR,166.71,5,215.58,6.47,100
100017,70,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,PRRD1000,Road Bike Carbon Shimano,ROB,Roadbike,BI,9,ST,EUR,30008.88,900.27,38806.26,1164.19,19800
100017,80,2007,1,1/15/2007,16000,Capital Bikes,Berlin,DN00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,5,ST,EUR,10002.95,300.09,12935.41,388.06,6000
100018,10,2007,1,1/16/2007,19000,Fahrpott,Bochum,DN00,DE,BOTL1000,Water Bottle,ACC,Accessoire,AS,8,ST,EUR,133.35,,172.24,,80
100018,20,2007,1,1/16/2007,19000,Fahrpott,Bochum,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,1,ST,EUR,15.01,,19.39,,9
100019,10,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,5,ST,EUR,10002.97,,12920.4,,6000
100019,20,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,DXTR3000,Deluxe Touring Bike-Red,TOU,Touring Bike,BI,1,ST,EUR,2500.74,,3230.1,,1400
100019,30,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,3,ST,EUR,6001.78,,7752.23,,3600
100019,40,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,FAID1000,First Aid Kit,ACC,Accessoire,AS,14,ST,EUR,466.74,,602.87,,280
100019,50,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,5,ST,EUR,7085.41,,9151.91,,5000
100019,60,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,DXTR2000,Deluxe Touring Bike-Silver,TOU,Touring Bike,BI,9,ST,EUR,22506.66,,29070.86,,12600
100019,70,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,9,ST,EUR,12753.74,,16473.44,,9000
100019,80,2007,1,1/16/2007,21000,Ostseerad,Anklam,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,4,ST,EUR,5668.33,,7321.53,,4000
100020,10,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,9,ST,EUR,12753.74,382.61,16473.44,494.2,8550
100020,20,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,5,ST,EUR,116.72,3.5,150.76,4.52,70
100020,30,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,4,ST,EUR,93.38,2.8,120.61,3.62,56
100020,40,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,DXRD2000,Road Bike Alu SRAM,ROB,Roadbike,BI,5,ST,EUR,6877.02,206.32,8882.74,266.49,4750
100020,50,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,KPAD1000,Knee Pads,ACC,Accessoire,AS,3,ST,EUR,187.55,5.63,242.25,7.27,112.5
100020,60,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,4,ST,EUR,93.38,2.8,120.61,3.62,56
100020,70,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PRTR3000,Professional Touring Bike-Red,TOU,Touring Bike,BI,5,ST,EUR,13337.26,400.12,17227.15,516.82,7500
100020,80,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,3,ST,EUR,70.03,2.1,90.45,2.71,42
100020,90,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,PRTR1000,Professional Touring Bike-Black,TOU,Touring Bike,BI,1,ST,EUR,2667.45,80.03,3445.43,103.37,1500
100020,100,2007,1,1/16/2007,23000,Red Light Bikes,Hamburg,DN00,DE,EPAD1000,Elbow Pads,ACC,Accessoire,AS,2,ST,EUR,125.03,3.75,161.5,4.84,75
100021,10,2007,1,1/17/2007,15000,Bavaria Bikes,München,DS00,DE,PRTR2000,Professional Touring Bike-Silver,TOU,Touring Bike,BI,1,ST,EUR,2667.46,133.37,3453.47,172.67,1500
100022,10,2007,1,1/17/2007,19000,Fahrpott,Bochum,DN00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,6,ST,EUR,140.04,,181.31,,84
100022,20,2007,1,1/17/2007,19000,Fahrpott,Bochum,DN00,DE,FAID1000,First Aid Kit,ACC,Accessoire,AS,11,ST,EUR,366.82,,474.91,,220
100023,10,2007,1,1/18/2007,19000,Fahrpott,Bochum,DN00,DE,FAID1000,First Aid Kit,ACC,Accessoire,AS,14,ST,EUR,466.76,,603.99,,280
100023,20,2007,1,1/18/2007,19000,Fahrpott,Bochum,DN00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,9,ST,EUR,135.03,,174.73,,81
100023,30,2007,1,1/18/2007,19000,Fahrpott,Bochum,DN00,DE,DXRD1000,Road Bike Alu Shimano,ROB,Roadbike,BI,7,ST,EUR,9919.63,,12835.96,,7000
100023,40,2007,1,1/18/2007,19000,Fahrpott,Bochum,DN00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,9,ST,EUR,12753.81,,16503.38,,8550
100023,50,2007,1,1/18/2007,19000,Fahrpott,Bochum,DN00,DE,ORHT1000,Men's Off Road Bike Hard Tail Shimano,ORB,Offroad Bike,BI,6,ST,EUR,8002.38,,10355.05,,5400
100023,60,2007,1,1/18/2007,19000,Fahrpott,Bochum,DN00,DE,PRRD1000,Road Bike Carbon Shimano,ROB,Roadbike,BI,3,ST,EUR,10002.96,,12943.79,,6600
100024,10,2007,1,1/19/2007,23000,Red Light Bikes,Hamburg,DN00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,6,ST,EUR,12003.56,360.1,15564.78,466.93,7200
100024,20,2007,1,1/19/2007,23000,Red Light Bikes,Hamburg,DN00,DE,DXTR1000,Deluxe Touring Bike-Black,TOU,Touring Bike,BI,1,ST,EUR,2500.74,75.02,3242.66,97.28,1400
100024,30,2007,1,1/19/2007,23000,Red Light Bikes,Hamburg,DN00,DE,KPAD1000,Knee Pads,ACC,Accessoire,AS,6,ST,EUR,375.09,11.25,486.37,14.59,225
100024,40,2007,1,1/19/2007,23000,Red Light Bikes,Hamburg,DN00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,8,ST,EUR,16004.75,480.14,20753.05,622.59,9600
100024,50,2007,1,1/19/2007,23000,Red Light Bikes,Hamburg,DN00,DE,FAID1000,First Aid Kit,ACC,Accessoire,AS,5,ST,EUR,166.7,5,216.16,6.48,100
100025,10,2007,1,1/21/2007,22000,Rädlelland,Stuttgart,DS00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,4,ST,EUR,5668.33,170.05,7350.01,220.5,3800
100025,20,2007,1,1/21/2007,22000,Rädlelland,Stuttgart,DS00,DE,ORHT2000,Men's Off Road Bike Hard Tail SRAM,ORB,Offroad Bike,BI,3,ST,EUR,4251.25,127.53,5512.51,165.37,2850
100025,30,2007,1,1/21/2007,22000,Rädlelland,Stuttgart,DS00,DE,ORMN1000,Men's Off Road Bike Fully,ORB,Offroad Bike,BI,9,ST,EUR,18005.35,540.16,23347.19,700.41,10800
100026,10,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,OHMT1000,Off Road Helmet,ACC,Accessoire,AS,5,ST,EUR,208.4,6.25,270.02,8.1,125
100026,20,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,EPAD1000,Elbow Pads,ACC,Accessoire,AS,9,ST,EUR,562.64,16.88,729,21.87,337.5
100026,30,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,7,ST,EUR,163.37,4.9,211.67,6.35,98
100026,40,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,DXTR3000,Deluxe Touring Bike-Red,TOU,Touring Bike,BI,3,ST,EUR,7502.22,225.06,9720.42,291.6,4200
100026,50,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,1,ST,EUR,15,0.45,19.44,0.58,9
100026,60,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,PRRD1000,Road Bike Carbon Shimano,ROB,Roadbike,BI,2,ST,EUR,6668.64,200.06,8640.37,259.21,4400
100026,70,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,PUMP1000,Air Pump,ACC,Accessoire,AS,4,ST,EUR,93.36,2.8,120.96,3.63,56
100026,80,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,CAGE1000,Water Bottle Cage,ACC,Accessoire,AS,6,ST,EUR,90.02,2.7,116.64,3.5,54
100026,90,2007,1,1/22/2007,20000,Neckarrad,Heidelberg,DS00,DE,KPAD1000,Knee Pads,ACC,Accessoire,AS,5,ST,EUR,312.58,9.38,405,12.15,187.5
